Departamento,Municipio,Herido,Muerto,Total general
Nariño,Tumaco,338,65,403
Meta,Vistahermosa,317,52,369
Arauca,Tame,280,70,350
Antioquia,Tarazá,247,31,278
Caquetá,San Vicente Del Caguán,254,21,275
Antioquia,Ituango,209,47,256
Caquetá,Montañita,213,36,249
Norte De Santander,Teorama,141,48,189
Norte De Santander,Tibú,126,54,180
Antioquia,Anorí,145,32,177
Antioquia,San Carlos,156,17,173
Putumayo,Puerto Asís,110,55,165
Arauca,Arauquita,137,24,161
Meta,Uribe,138,11,149
Tolima,Planadas,105,39,144
Córdoba,Tierralta,122,18,140
Antioquia,Dabeiba,113,22,135
Guaviare,San José Del Guaviare,109,22,131
Córdoba,Puerto Libertador,115,13,128
Antioquia,Valdivia,113,13,126
Tolima,Chaparral,89,34,123
Meta,Puerto Rico,91,31,122
Norte De Santander,Hacarí,106,16,122
Nariño,Samaniego,102,19,121
Caquetá,Puerto Rico,113,6,119
Meta,Mesetas,102,15,117
Bolívar,El Carmen De Bolívar,91,17,108
Meta,La Macarena,79,25,104
Antioquia,San Francisco,85,18,103
Caldas,Samaná,86,13,99
Norte De Santander,El Tarra,81,18,99
Caquetá,Florencia,79,19,98
Cauca,Argelia,86,10,96
Nariño,Ricaurte,52,44,96
Cauca,El Tambo,90,5,95
Nariño,Barbacoas,74,21,95
Bolívar,San Pablo,78,14,92
Antioquia,Sonsón,82,9,91
Norte De Santander,Convención,80,11,91
Norte De Santander,San Calixto,68,20,88
Bolívar,Santa Rosa Del Sur,74,13,87
Valle Del Cauca,Florida,72,11,83
Bolívar,Morales,78,4,82
Antioquia,San Luis,73,6,79
Antioquia,Granada,58,20,78
Antioquia,Cocorná,65,10,75
Antioquia,Argelia,58,14,72
Tolima,Rioblanco,57,15,72
Huila,Algeciras,60,10,70
Caquetá,Cartagena Del Chairá,58,11,69
Nariño,Policarpa,52,17,69
Putumayo,Orito,53,11,64
Antioquia,Yarumal,50,11,61
Putumayo,Valle Del Guamuez,46,15,61
Santander,Barrancabermeja,42,19,61
Antioquia,Briceño,48,11,59
Antioquia,Cáceres,52,7,59
Guaviare,El Retorno,52,6,58
Bolívar,Zambrano,42,15,57
Nariño,Santa Cruz,40,16,56
Meta,San Juan De Arama,36,17,53
Antioquia,Apartadó,43,7,50
Arauca,Saravena,44,6,50
Cauca,Toribío,36,14,50
Guaviare,Miraflores,42,8,50
Tolima,Ortega,21,27,48
Bolívar,Simití,39,8,47
Huila,Colombia,44,2,46
Antioquia,Segovia,40,5,45
Norte De Santander,Sardinata,37,8,45
Putumayo,Puerto Caicedo,32,13,45
Putumayo,Puerto Guzmán,38,6,44
Cauca,Santa Rosa,29,14,43
Nariño,Roberto Payán,35,8,43
Antioquia,Campamento,26,16,42
Antioquia,El Bagre,38,4,42
Arauca,Fortul,37,5,42
Nariño,Cumbitara,35,7,42
Antioquia,Urrao,34,7,41
Valle Del Cauca,Buenaventura,34,7,41
Antioquia,Mutatá,37,3,40
Antioquia,Turbo,36,3,39
Cesar,Valledupar,16,23,39
Nariño,La Llanada,37,2,39
Caquetá,El Paujil,34,4,38
Meta,Lejanías,33,5,38
Antioquia,Remedios,30,7,37
Cauca,Jambaló,35,2,37
Huila,Baraya,32,5,37
Antioquia,Medellín,27,8,35
Cauca,Suárez,29,6,35
Norte De Santander,El Carmen,31,4,35
Antioquia,Angostura,27,7,34
Meta,El Castillo,28,6,34
Santander,El Carmen,24,10,34
Bolívar,Cantagallo,31,2,33
Cauca,López,32,1,33
Nariño,Los Andes,32,1,33
Putumayo,San Miguel,24,9,33
Antioquia,Zaragoza,26,6,32
Arauca,Arauca,25,7,32
Guaviare,Calamar,27,5,32
Valle Del Cauca,Pradera,29,3,32
Antioquia,San Rafael,29,2,31
Norte De Santander,Ábrego,28,3,31
Putumayo,Puerto Leguízamo,28,3,31
Antioquia,Nariño,28,2,30
Bogotá D.C,Bogotá Dc,19,11,30
